Material,Material_Type,Su,Sy,E,G,mu,Ro,Material_Type_Encoded
ISO Nodular cast iron ,Iron,500.0,320.0,169000.0,70000.0,0.26999999999999996,7160.0,2
ISO Nodular cast iron ,Iron,600.0,370.0,169000.0,70000.0,0.26999999999999996,7160.0,2
ISO Nodular cast iron ,Iron,700.0,420.0,169000.0,70000.0,0.26999999999999996,7160.0,2
ISO Nodular cast iron ,Iron,800.0,480.0,169000.0,70000.0,0.26999999999999996,7160.0,2
ISO Malleable cast iron ,Iron,400.0,180.0,160000.0,64000.0,0.27,7160.0,2
ISO Malleable cast iron ,Iron,500.0,260.0,160000.0,64000.0,0.27,7160.0,2
DIN DIN 9SMn28 ,Other,460.0,375.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 10S2O ,Other,460.0,355.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 35S20 ,Other,580.0,365.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN USt1303 ,Other,270.0,250.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN St1405 ,Other,270.0,210.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN St1203 ,Other,270.0,280.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN USt34-2 ,Other,330.0,195.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN St34-2BK ,Other,410.0,320.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN St37.0 ,Other,350.0,225.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN HI ,Other,360.0,225.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN St37-2 ,Other,340.0,225.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN St37-2BK ,Other,440.0,350.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN RSt37-2 ,Other,340.0,225.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN St37-3 ,Other,340.0,225.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN HII ,Other,410.0,255.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN St44-2 ,Other,410.0,265.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN St44.0 ,Other,420.0,265.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN St44-3 ,Other,410.0,265.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN St50-2 ,Other,470.0,285.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN St52-3 ,Other,490.0,345.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN St52.0 ,Other,500.0,345.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN St52-3BK ,Other,590.0,470.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN St60-2 ,Other,570.0,325.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN St70-2 ,Other,670.0,355.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Ck10 case-hardened,Other,440.0,275.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Ck15 case-hardened,Other,495.0,295.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Ck22 ,Other,500.0,300.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Ck25 ,Other,500.0,320.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Ck30 ,Other,550.0,350.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Ck35 ,Other,600.0,370.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Cf35 ,Other,580.0,360.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Ck40 heat treated,Other,630.0,400.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Ck45 normalized,Other,535.0,320.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Ck45 heat treated,Other,650.0,430.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Cf45 ,Other,660.0,410.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Ck50 face hardened,Other,700.0,460.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Cf53 ,Other,690.0,430.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Ck55 heat treated,Other,750.0,500.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Ck60 normalized,Other,680.0,400.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Ck60 heat treated,Other,800.0,520.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN Ck60 nitro-carburized,Other,800.0,520.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 17Mn4 ,Other,460.0,290.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 28Mn6 ,Other,690.0,490.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 17Cr3 ,Other,590.0,340.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 34Cr4 ,Other,800.0,590.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 37Cr4 heat treated,Other,850.0,630.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 37Cr4 face hardened,Other,850.0,630.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 37Cr4 nitro-case-hard.,Other,1252.5,867.5,206000.0,80000.0,0.3,7860.0,3
DIN DIN 38Cr4 ,Other,830.0,630.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 41Cr4 ,Other,900.0,660.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 42Cr4 ,Other,880.0,670.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 37CrS4 ,Other,850.0,630.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 41CrS4 ,Other,880.0,665.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 55Cr3 heat treated,Other,1252.5,867.5,206000.0,80000.0,0.3,7860.0,3
DIN DIN 16MnCr5 case-hardened,Other,900.0,680.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 20MnCr5 ,Other,980.0,680.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 54SiCr6 heat treated,Other,1252.5,867.5,206000.0,80000.0,0.3,7860.0,3
DIN DIN 15Mo3 ,Other,440.0,270.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 13CrMo4 ,Other,450.0,295.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN WTSt52-3 ,Other,490.0,345.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 25CrMo4 ,Other,800.0,600.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 34CrMo4 ,Other,900.0,650.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 42CrMo4 ,Other,1000.0,750.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 41CrMo4 ,Other,980.0,760.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 49CrMo4 ,Other,880.0,690.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 30CrV9 nitrided,Other,800.0,600.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 42CrV6 heat treated,Other,980.0,850.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 42CrV6 face hardened,Other,980.0,850.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 50CrV4 heat treated,Other,1252.5,867.5,206000.0,80000.0,0.3,7860.0,3
DIN DIN 10CrMo9-10 ,Other,480.0,300.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 41CrAlMo7 ,Other,930.0,735.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 32CrMo12 ,Other,1230.0,867.5,206000.0,80000.0,0.3,7860.0,3
DIN DIN 31CrMo12 ,Other,1000.0,750.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 17CrNiMo6 ,Other,1080.0,785.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 10Ni14 ,Other,490.0,355.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN 34CrNiMo6 ,Other,1100.0,867.5,206000.0,80000.0,0.3,7860.0,3
DIN DIN 30CrNiMo8 ,Other,1250.0,867.5,206000.0,80000.0,0.3,7860.0,3
DIN DIN 12Ni19 ,Other,530.0,390.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X8Ni9 ,Other,680.0,585.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X6Cr13 ,Other,400.0,250.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X6Cr17 ,Other,450.0,270.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X10Cr13 ,Other,600.0,420.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X20Cr13 ,Other,650.0,450.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X30Cr13 ,Other,800.0,600.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X45CrSi93 ,Other,900.0,700.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X6CrAl13 ,Other,400.0,250.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X20CrNi172 ,Other,750.0,550.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X85CrMoV182 ,Other,1000.0,800.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X5CrNi1810 ,Other,500.0,195.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X10CrNiS189 ,Other,500.0,195.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X6CrNiTi1810 ,Other,500.0,200.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X2CrNi1911 ,Other,460.0,180.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X2CrNiN1810 ,Other,550.0,270.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X5CrNiMo17122 ,Other,510.0,205.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X6CrNiMoTi17122 ,Other,500.0,210.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X2CrNiMo17132 ,Other,490.0,190.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X2CrNiMo18143 ,Other,490.0,190.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X5CrNiMo17133 ,Other,510.0,205.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X2CrNiMoN17122 ,Other,580.0,280.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X2CrNiMoN17133 ,Other,580.0,295.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X2CrNiMoN17135 ,Other,580.0,285.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X8CrMnNi188 ,Other,590.0,295.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN X53CrMnNiN219 ,Other,950.0,580.0,206000.0,80000.0,0.3,7860.0,3
DIN DIN GG - 15 ,Other,150.0,150.0,85000.0,34000.0,0.26999999999999996,7160.0,3
DIN DIN GG - 20 ,Other,200.0,200.0,85000.0,34000.0,0.26999999999999996,7160.0,3
DIN DIN GG - 25 ,Other,250.0,250.0,85000.0,34000.0,0.26999999999999996,7160.0,3
DIN DIN GG - 30 ,Other,300.0,300.0,85000.0,34000.0,0.26999999999999996,7160.0,3
DIN DIN GG - 35 ,Other,350.0,350.0,85000.0,34000.0,0.26999999999999996,7160.0,3
DIN DIN GGG - 50 ,Other,500.0,320.0,169000.0,70000.0,0.26999999999999996,7160.0,3
DIN DIN GGG - 60 ,Other,600.0,370.0,169000.0,70000.0,0.26999999999999996,7160.0,3
DIN DIN GGG - 70 ,Other,700.0,420.0,169000.0,70000.0,0.26999999999999996,7160.0,3
DIN DIN GGG - 80 ,Other,800.0,480.0,169000.0,70000.0,0.26999999999999996,7160.0,3
DIN DIN GTS - 40 ,Other,400.0,180.0,160000.0,64000.0,0.27,7160.0,3
DIN DIN GTS - 50 ,Other,500.0,260.0,160000.0,64000.0,0.27,7160.0,3
BS BS 230M07 ,Other,430.0,300.0,206000.0,80000.0,0.3,7860.0,3
BS BS 212M36 ,Other,635.0,370.0,206000.0,80000.0,0.3,7860.0,3
BS BS CR3GP ,Other,280.0,140.0,206000.0,80000.0,0.3,7860.0,3
BS BS CR2PL ,Other,280.0,140.0,206000.0,80000.0,0.3,7860.0,3
BS BS CR4GP ,Other,280.0,140.0,206000.0,80000.0,0.3,7860.0,3
BS BS CEW2BK ,Other,420.0,355.0,206000.0,80000.0,0.3,7860.0,3
BS BS CFS3NBK ,Other,360.0,215.0,206000.0,80000.0,0.3,7860.0,3
BS BS Grade 360 ,Other,360.0,225.0,206000.0,80000.0,0.3,7860.0,3
BS BS CEW3BK ,Other,450.0,360.0,206000.0,80000.0,0.3,7860.0,3
BS BS 40B ,Other,340.0,225.0,206000.0,80000.0,0.3,7860.0,3
BS BS 40C ,Other,340.0,225.0,206000.0,80000.0,0.3,7860.0,3
BS BS Grade 430 ,Other,410.0,225.0,206000.0,80000.0,0.3,7860.0,3
BS BS 43B ,Other,430.0,245.0,206000.0,80000.0,0.3,7860.0,3
BS BS CFS6NBK ,Other,460.0,280.0,206000.0,80000.0,0.3,7860.0,3
BS BS 43D ,Other,430.0,245.0,206000.0,80000.0,0.3,7860.0,3
BS BS 50B ,Other,490.0,355.0,206000.0,80000.0,0.3,7860.0,3
BS BS 50C ,Other,490.0,355.0,206000.0,80000.0,0.3,7860.0,3
BS BS 50D ,Other,490.0,355.0,206000.0,80000.0,0.3,7860.0,3
BS BS CFS8NBK ,Other,540.0,340.0,206000.0,80000.0,0.3,7860.0,3
BS BS CEW5BK ,Other,600.0,480.0,206000.0,80000.0,0.3,7860.0,3
BS BS 55C ,Other,550.0,430.0,206000.0,80000.0,0.3,7860.0,3
BS BS 55E ,Other,550.0,430.0,206000.0,80000.0,0.3,7860.0,3
BS BS 070M26 ,Other,490.0,245.0,206000.0,80000.0,0.3,7860.0,3
BS BS 080M30 ,Other,550.0,310.0,206000.0,80000.0,0.3,7860.0,3
BS BS 080M36 ,Other,625.0,370.0,206000.0,80000.0,0.3,7860.0,3
BS BS 080A35 ,Other,625.0,370.0,206000.0,80000.0,0.3,7860.0,3
BS BS 080M40 ,Other,625.0,355.0,206000.0,80000.0,0.3,7860.0,3
BS BS 080M46 ,Other,625.0,340.0,206000.0,80000.0,0.3,7860.0,3
BS BS 060A47 ,Other,700.0,400.0,206000.0,80000.0,0.3,7860.0,3
BS BS 080M50 ,Other,625.0,360.0,206000.0,80000.0,0.3,7860.0,3
BS BS 060A57 ,Other,775.0,450.0,206000.0,80000.0,0.3,7860.0,3
BS BS 070M55 ,Other,775.0,450.0,206000.0,80000.0,0.3,7860.0,3
BS BS 150M19 ,Other,550.0,325.0,206000.0,80000.0,0.3,7860.0,3
BS BS 251A58 heat treated,Other,1252.5,867.5,206000.0,80000.0,0.3,7860.0,3
BS BS 530A36 ,Other,700.0,510.0,206000.0,80000.0,0.3,7860.0,3
BS BS 530M40 heat treated,Other,775.0,570.0,206000.0,80000.0,0.3,7860.0,3
BS BS 530M40 face hardened,Other,850.0,665.0,206000.0,80000.0,0.3,7860.0,3
BS BS 525A60 heat treated,Other,1252.5,867.5,206000.0,80000.0,0.3,7860.0,3
BS BS 708A25 ,Other,850.0,665.0,206000.0,80000.0,0.3,7860.0,3
BS BS 708A37 ,Other,850.0,665.0,206000.0,80000.0,0.3,7860.0,3
BS BS 708M40 heat treated,Other,850.0,665.0,206000.0,80000.0,0.3,7860.0,3
BS BS 708M40 face hardened,Other,925.0,740.0,206000.0,80000.0,0.3,7860.0,3
BS BS 735A51 heat treated,Other,1252.5,867.5,206000.0,80000.0,0.3,7860.0,3
BS BS 905M39 nitrided,Other,775.0,570.0,206000.0,80000.0,0.3,7860.0,3
BS BS 722M22 ,Other,850.0,665.0,206000.0,80000.0,0.3,7860.0,3
BS BS 722M24 nitrided,Other,850.0,685.0,206000.0,80000.0,0.3,7860.0,3
BS BS 817M40 heat treated,Other,1075.0,867.5,206000.0,80000.0,0.3,7860.0,3
BS BS 403S17 ,Other,420.0,245.0,206000.0,80000.0,0.3,7860.0,3
BS BS 410S21 ,Other,550.0,340.0,206000.0,80000.0,0.3,7860.0,3
BS BS 420S37 ,Other,700.0,490.0,206000.0,80000.0,0.3,7860.0,3
BS BS 430S17 ,Other,430.0,245.0,206000.0,80000.0,0.3,7860.0,3
BS BS 401S45 ,Other,900.0,685.0,206000.0,80000.0,0.3,7860.0,3
BS BS 431S29 ,Other,850.0,635.0,206000.0,80000.0,0.3,7860.0,3
BS BS 304S15 ,Other,480.0,195.0,206000.0,80000.0,0.3,7860.0,3
BS BS 303S31 ,Other,510.0,190.0,206000.0,80000.0,0.3,7860.0,3
BS BS 321S31 ,Other,490.0,195.0,206000.0,80000.0,0.3,7860.0,3
BS BS 304S11 ,Other,480.0,180.0,206000.0,80000.0,0.3,7860.0,3
BS BS 310S31 ,Other,510.0,205.0,206000.0,80000.0,0.3,7860.0,3
BS BS 316S11 ,Other,490.0,190.0,206000.0,80000.0,0.3,7860.0,3
BS BS 316S31 ,Other,510.0,205.0,206000.0,80000.0,0.3,7860.0,3
BS BS 349S54 ,Other,950.0,580.0,206000.0,80000.0,0.3,7860.0,3
BS Grey cast iron ,Iron,150.0,150.0,85000.0,34000.0,0.26999999999999996,7160.0,2
BS Grey cast iron ,Iron,200.0,200.0,85000.0,34000.0,0.26999999999999996,7160.0,2
BS Grey cast iron ,Iron,250.0,250.0,85000.0,34000.0,0.26999999999999996,7160.0,2
BS Grey cast iron ,Iron,300.0,300.0,85000.0,34000.0,0.26999999999999996,7160.0,2
BS Grey cast iron ,Iron,350.0,350.0,85000.0,34000.0,0.26999999999999996,7160.0,2
BS Nodular cast iron ,Iron,500.0,320.0,169000.0,70000.0,0.26999999999999996,7160.0,2
BS Nodular cast iron ,Iron,600.0,370.0,169000.0,70000.0,0.26999999999999996,7160.0,2
BS Nodular cast iron ,Iron,700.0,420.0,169000.0,70000.0,0.26999999999999996,7160.0,2
BS Nodular cast iron ,Iron,800.0,480.0,169000.0,70000.0,0.26999999999999996,7160.0,2
BS Malleable cast iron ,Iron,400.0,180.0,160000.0,64000.0,0.27,7160.0,2
BS Malleable cast iron ,Iron,500.0,260.0,160000.0,64000.0,0.27,7160.0,2
CSN CSN 10370 ,Other,350.0,200.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11110 ,Other,400.0,226.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11110 normalized,Other,471.0,373.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11120 ,Other,400.0,255.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11140 normalized,Other,660.0,520.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11301 ,Other,280.0,200.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11305 ,Other,290.0,215.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11321 ,Other,280.0,200.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11343 ,Other,330.0,195.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11353 ,Other,340.0,225.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11368 ,Other,350.0,225.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11373 ,Other,340.0,225.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11378 ,Other,360.0,235.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11418 ,Other,410.0,255.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11423 ,Other,420.0,240.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11448 ,Other,430.0,285.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11453 ,Other,440.0,265.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11500 ,Other,490.0,265.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11503 ,Other,490.0,340.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11523 normalized,Other,510.0,345.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11600 ,Other,590.0,315.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11600 face hardened,Other,590.0,315.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11700 ,Other,686.0,355.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 11700 face hardened,Other,686.0,355.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 12010 case-hardened,Other,490.0,325.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 12020 ,Other,550.0,350.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 12020 case-hardened,Other,490.0,295.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 12024 ,Other,480.0,300.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 12030 ,Other,500.0,320.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 12031 ,Other,550.0,350.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 12040 ,Other,600.0,370.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 12041 ,Other,630.0,400.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 12050 normalized,Other,530.0,305.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 12050 heat treated,Other,640.0,390.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 12051 ,Other,690.0,440.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 12060 ,Other,750.0,480.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 12061 heat treated,Other,800.0,500.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 12071 heat treated,Other,1252.5,867.5,206000.0,80000.0,0.3,7860.0,3
CSN CSN 13030 ,Other,460.0,285.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 13141 ,Other,690.0,490.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 13180 heat treated,Other,1252.5,867.5,206000.0,80000.0,0.3,7860.0,3
CSN CSN 13220 normalized,Other,670.0,430.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 13221 normalized,Other,680.0,440.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 13240 ,Other,780.0,540.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 13242 ,Other,880.0,685.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 13251 heat treated,Other,1252.5,867.5,206000.0,80000.0,0.3,7860.0,3
CSN CSN 13270 heat treated,Other,1252.5,867.5,206000.0,80000.0,0.3,7860.0,3
CSN CSN 14120 ,Other,588.0,343.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 14140 heat treated,Other,883.0,637.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 14140 face hardened,Other,932.0,785.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 14140 nitro-case-hard.,Other,1252.5,867.5,206000.0,80000.0,0.3,7860.0,3
CSN CSN 14141 ,Other,883.0,687.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 14146 ,Other,932.0,785.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 14148 ,Other,657.0,490.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 14220 ,Other,900.0,680.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 14220 case-hardened,Other,785.0,588.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 14221 ,Other,981.0,686.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 14223 case-hardened,Other,883.0,687.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 14230 case-hardened,Other,981.0,794.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 14260 heat treated,Other,1252.5,867.5,206000.0,80000.0,0.3,7860.0,3
CSN CSN 14262 heat treated,Other,1252.5,867.5,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15020 ,Other,440.0,265.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15121 ,Other,430.0,295.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15127 ,Other,470.0,345.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15130 ,Other,690.0,490.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15131 ,Other,930.0,735.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15141 ,Other,880.0,665.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15142 ,Other,1000.0,750.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15217 ,Other,470.0,345.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15222 normalized,Other,690.0,490.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15230 heat treated,Other,1000.0,850.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15230 Heat-treatment nitrided steel,Steel,780.0,635.0,206000.0,80000.0,0.3,7860.0,4
CSN CSN 15241 heat treated,Other,1177.0,867.5,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15241 heat treated,Other,1252.5,867.5,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15241 face hardened,Other,1177.0,867.5,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15260 ,Other,900.0,700.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15313 ,Other,480.0,265.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15330 Heat-treatment nitrided steel,Steel,834.0,637.0,206000.0,80000.0,0.3,7860.0,4
CSN CSN 15340 ,Other,981.0,785.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 15432 ,Other,690.0,490.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 16220 case-hardened,Other,883.0,637.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 16223 ,Other,835.0,590.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 16321 ,Other,880.0,635.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 16326 ,Other,1080.0,785.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 16329 ,Other,440.0,285.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 16343 ,Other,1100.0,867.5,206000.0,80000.0,0.3,7860.0,3
CSN CSN 16420 case-hardened,Other,932.0,785.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 16430 heat treated,Other,1080.0,867.5,206000.0,80000.0,0.3,7860.0,3
CSN CSN 16527 ,Other,590.0,390.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 16640 heat treated,Other,1252.5,867.5,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17020 normalized,Other,441.0,245.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17021 normalized,Other,590.0,415.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17022 normalized,Other,690.0,455.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17023 normalized,Other,740.0,495.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17040 normalized,Other,440.0,265.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17041 normalized,Other,440.0,295.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17113 normalized,Other,441.0,245.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17115 normalized,Other,930.0,685.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17125 normalized,Other,460.0,270.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17145 normalized,Other,800.0,560.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17150 normalized,Other,900.0,650.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17240 normalized,Other,490.0,186.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17241 normalized,Other,530.0,195.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17243 normalized,Other,500.0,190.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17246 normalized,Other,550.0,210.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17247 normalized,Other,500.0,195.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17248 normalized,Other,500.0,205.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17249 normalized,Other,440.0,175.0,206000.0,80000.0,0.3,7860.0,3
CSN CSN 17251 normalized,Other,650.0,350.0,206000.0,80000.0,0.3,7860.0,3
